file,distance_m,run,flow_id,protocol,rx_kbit_s,tx_kbit_s,delay_ms,loss_pct
2nd_Study_NrOfSenders=10_Duration=60s_Run=1.xml,,1,1,TCP,2439.8,2439.53,18.67,0.0
2nd_Study_NrOfSenders=11_Duration=60s_Run=1.xml,,1,1,TCP,2055.44,2055.18,16.47,0.0
2nd_Study_NrOfSenders=12_Duration=60s_Run=1.xml,,1,1,TCP,1889.2,1889.0,21.24,0.0
2nd_Study_NrOfSenders=13_Duration=60s_Run=1.xml,,1,1,TCP,1996.27,1995.96,20.62,0.0
2nd_Study_NrOfSenders=14_Duration=60s_Run=1.xml,,1,1,TCP,1689.84,1689.57,25.18,0.0
2nd_Study_NrOfSenders=15_Duration=60s_Run=1.xml,,1,1,TCP,1609.25,1608.99,23.44,0.0
2nd_Study_NrOfSenders=2_Duration=60s_Run=1.xml,,1,3,TCP,10611.67,10611.33,73.62,0.0
2nd_Study_NrOfSenders=3_Duration=60s_Run=1.xml,,1,1,TCP,7059.67,7059.5,9.48,0.0
2nd_Study_NrOfSenders=4_Duration=60s_Run=1.xml,,1,1,TCP,5537.31,5537.26,6.62,0.0
2nd_Study_NrOfSenders=5_Duration=60s_Run=1.xml,,1,1,TCP,4420.59,4419.89,4.73,0.0
2nd_Study_NrOfSenders=6_Duration=60s_Run=1.xml,,1,1,TCP,3833.82,3833.34,5.77,0.0
2nd_Study_NrOfSenders=7_Duration=60s_Run=1.xml,,1,1,TCP,3300.07,3299.66,6.93,0.0
2nd_Study_NrOfSenders=8_Duration=60s_Run=1.xml,,1,1,TCP,2944.55,2944.33,7.56,0.0
2nd_Study_NrOfSenders=9_Duration=60s_Run=1.xml,,1,1,TCP,2550.76,2550.4,10.1,0.0
