file,distance_m,run,flow_id,protocol,rx_kbit_s,tx_kbit_s,delay_ms,loss_pct
4th_Study_TotalDistance=1000m_Duration=60s_Run=1.xml,1000,1,1,TCP,5148.3,5147.37,129.55,0.0
4th_Study_TotalDistance=100m_Duration=60s_Run=1.xml,100,1,1,TCP,11012.36,11010.38,50.59,0.0
4th_Study_TotalDistance=1100m_Duration=60s_Run=1.xml,1100,1,1,TCP,4868.44,4867.58,115.86,0.0
4th_Study_TotalDistance=1200m_Duration=60s_Run=1.xml,1200,1,1,TCP,5001.96,5001.06,114.66,0.0
4th_Study_TotalDistance=1300m_Duration=60s_Run=1.xml,1300,1,1,TCP,5048.66,5047.81,114.68,0.0
4th_Study_TotalDistance=1400m_Duration=60s_Run=1.xml,1400,1,1,TCP,4941.44,4940.55,120.11,0.0
4th_Study_TotalDistance=1500m_Duration=60s_Run=1.xml,1500,1,1,TCP,3554.21,3553.99,274.54,0.01
4th_Study_TotalDistance=1600m_Duration=60s_Run=1.xml,1600,1,1,TCP,2914.81,2917.89,246.58,0.14
4th_Study_TotalDistance=1700m_Duration=60s_Run=1.xml,1700,1,1,TCP,2875.66,2883.13,172.7,0.33
4th_Study_TotalDistance=1800m_Duration=60s_Run=1.xml,1800,1,1,TCP,2840.75,2843.34,257.49,0.09
4th_Study_TotalDistance=1900m_Duration=60s_Run=1.xml,1900,1,1,TCP,2845.26,2847.17,228.81,0.08
4th_Study_TotalDistance=2000m_Duration=60s_Run=1.xml,2000,1,1,TCP,2775.83,2777.5,291.51,0.08
4th_Study_TotalDistance=200m_Duration=60s_Run=1.xml,200,1,1,TCP,10977.75,10975.75,51.04,0.0
4th_Study_TotalDistance=2100m_Duration=60s_Run=1.xml,2100,1,1,TCP,2416.8,2426.67,294.96,0.46
4th_Study_TotalDistance=2200m_Duration=60s_Run=1.xml,2200,1,1,TCP,1696.81,1706.52,238.62,0.55
4th_Study_TotalDistance=2300m_Duration=60s_Run=1.xml,2300,1,1,TCP,1490.22,1503.2,180.69,0.88
4th_Study_TotalDistance=2400m_Duration=60s_Run=1.xml,2400,1,1,TCP,1451.7,1461.63,147.02,0.66
4th_Study_TotalDistance=2500m_Duration=60s_Run=1.xml,2500,1,1,TCP,1492.39,1501.28,184.97,0.53
4th_Study_TotalDistance=2600m_Duration=60s_Run=1.xml,2600,1,1,TCP,1526.84,1551.32,222.15,1.58
4th_Study_TotalDistance=2700m_Duration=60s_Run=1.xml,2700,1,1,TCP,276.1,288.43,564.15,3.91
4th_Study_TotalDistance=2800m_Duration=60s_Run=1.xml,2800,1,1,TCP,262.42,273.16,518.73,3.61
4th_Study_TotalDistance=2900m_Duration=60s_Run=1.xml,2900,1,1,TCP,272.3,288.24,550.83,5.22
4th_Study_TotalDistance=300m_Duration=60s_Run=1.xml,300,1,1,TCP,10848.74,10846.76,51.3,0.0
4th_Study_TotalDistance=400m_Duration=60s_Run=1.xml,400,1,1,TCP,8317.7,8316.23,78.05,0.0
4th_Study_TotalDistance=500m_Duration=60s_Run=1.xml,500,1,1,TCP,7953.0,7951.55,70.67,0.0
4th_Study_TotalDistance=600m_Duration=60s_Run=1.xml,600,1,1,TCP,7951.86,7950.42,72.12,0.0
4th_Study_TotalDistance=700m_Duration=60s_Run=1.xml,700,1,1,TCP,6597.09,6595.88,99.67,0.0
4th_Study_TotalDistance=800m_Duration=60s_Run=1.xml,800,1,1,TCP,5898.44,5897.37,92.71,0.0
4th_Study_TotalDistance=900m_Duration=60s_Run=1.xml,900,1,1,TCP,6178.49,6177.44,95.49,0.0
