Range	35.0dB	-95.0dBm
Mobile unit	1	Mobile Terminal	 00.00000	 000.00000	0.0
Fixed unit	2	Site A	 41.21384	-008.26576	380.1
Fixed unit	3	Site B	 41.18386	-008.28282	440.0
Fixed unit	4	Site C	 41.20689	-008.22537	488.0
Fixed unit	5	Site D	 41.19995	-008.39087	505.9
Fixed unit	6	Site E	 41.22803	-008.20482	262.0
Latitude	Longitude	Rx(dB)	Best unit
 41.23896	-008.39325	-058.2	5
 41.23897	-008.39185	-049.7	5
 41.23897	-008.39045	-054.1	5
 41.23897	-008.38905	-057.0	5
 41.23896	-008.38766	-058.8	5
 41.23896	-008.38626	-060.2	0
 41.23897	-008.38486	-060.7	0
 41.23896	-008.38346	-053.7	5
 41.23897	-008.38206	-056.3	5
 41.23897	-008.38067	-057.4	5
 41.23896	-008.37927	-051.7	5
 41.23897	-008.37787	-057.1	0
 41.23897	-008.37647	-044.3	5
 41.23897	-008.37508	-039.0	5
 41.23897	-008.37368	-031.1	5
 41.23897	-008.37228	-005.2	5
 41.23896	-008.37088	 006.6	5
 41.23897	-008.36948	 012.0	5
 41.23897	-008.36809	-034.9	5
 41.23896	-008.36669	-002.9	5
 41.23897	-008.36529	 004.7	5
 41.23897	-008.36389	 006.5	5
 41.23897	-008.36249	 008.3	0
 41.23897	-008.36110	 007.7	0
 41.23897	-008.35970	 006.3	0
 41.23896	-008.35830	 007.2	0
 41.23897	-008.35690	 003.7	0
 41.23897	-008.35550	 004.5	0
 41.23897	-008.35411	 004.2	0
 41.23897	-008.35271	 005.0	0
 41.23897	-008.35131	-002.5	3
 41.23897	-008.34991	-050.8	0
 41.23896	-008.34852	 006.9	0
 41.23897	-008.34712	 004.3	0
 41.23897	-008.34572	 006.0	0
 41.23896	-008.34432	 005.5	0
 41.23897	-008.34292	 006.1	0
 41.23897	-008.34153	 006.7	0
 41.23897	-008.34013	 006.8	0
 41.23897	-008.33873	 011.1	0
 41.23897	-008.33733	 005.9	0
 41.23896	-008.33594	 009.1	0
 41.23897	-008.33454	 009.8	0
 41.23897	-008.33314	 009.0	0
 41.23896	-008.33174	 009.4	0
 41.23897	-008.33034	 007.7	3
 41.23897	-008.32895	 007.5	0
 41.23896	-008.32755	 008.1	0
 41.23897	-008.32615	-006.6	0
 41.23897	-008.32475	-009.4	5
 41.23896	-008.32335	 004.4	0
 41.23897	-008.32196	 008.1	4
 41.23897	-008.32056	-016.2	4
 41.23896	-008.31916	-048.5	0
 41.23897	-008.31776	-048.6	0
 41.23897	-008.31637	-007.3	4
 41.23896	-008.31497	 001.8	4
 41.23896	-008.31357	 009.6	0
 41.23897	-008.31217	 013.3	0
 41.23896	-008.31077	 008.6	0
 41.23896	-008.30938	 009.7	3
 41.23897	-008.30798	-044.6	0
 41.23897	-008.30658	-011.8	5
 41.23896	-008.30518	 006.4	5
 41.23897	-008.30379	 012.8	0
 41.23897	-008.30239	 007.8	0
 41.23896	-008.30099	 011.8	0
 41.23897	-008.29959	 004.8	0
 41.23897	-008.29819	 012.1	0
 41.23896	-008.29680	 006.8	0
 41.23897	-008.29540	 010.5	0
