Range	35.0dB	-95.0dBm
Mobile unit	1	Mobile Terminal	 00.00000	 000.00000	0.0
Fixed unit	2	Site A	 41.21384	-008.26576	380.1
Fixed unit	3	Site B	 41.18386	-008.28282	440.0
Fixed unit	4	Site C	 41.20689	-008.22537	488.0
Latitude	Longitude	Rx(dB)	Best unit
 41.23928	-008.39367	-067.5	0
 41.23928	-008.39297	-066.9	0
 41.23928	-008.39227	-066.9	0
 41.23928	-008.39157	-067.2	0
 41.23928	-008.39087	-067.3	0
 41.23929	-008.39017	-067.5	0
 41.23928	-008.38947	-066.9	0
 41.23929	-008.38877	-066.9	0
 41.23928	-008.38807	-066.9	0
 41.23928	-008.38738	-066.9	0
 41.23929	-008.38668	-063.8	0
 41.23928	-008.38598	-065.0	0
 41.23928	-008.38528	-061.9	0
 41.23928	-008.38458	-066.5	0
 41.23928	-008.38388	-070.0	0
 41.23928	-008.38318	-075.5	0
 41.23928	-008.38248	-076.3	0
 41.23929	-008.38178	-075.4	0
 41.23929	-008.38109	-075.9	0
 41.23928	-008.38039	-085.4	0
 41.23928	-008.37969	-084.3	0
 41.23929	-008.37899	-078.9	0
 41.23928	-008.37829	-061.9	0
 41.23928	-008.37759	-056.2	0
 41.23928	-008.37689	-061.2	0
 41.23929	-008.37619	-063.7	0
 41.23929	-008.37549	-063.5	0
 41.23928	-008.37480	-062.4	0
 41.23928	-008.37410	-061.1	0
 41.23928	-008.37340	-056.9	0
 41.23928	-008.37270	-051.0	0
 41.23928	-008.37200	-055.4	0
 41.23928	-008.37130	-048.3	0
 41.23928	-008.37060	-040.7	3
 41.23929	-008.36990	-043.3	0
 41.23929	-008.36920	-052.7	0
 41.23929	-008.36851	-059.8	0
 41.23928	-008.36781	-062.0	0
 41.23929	-008.36711	-060.4	0
 41.23929	-008.36641	-051.1	0
 41.23928	-008.36571	-036.7	0
 41.23928	-008.36501	-031.8	0
 41.23928	-008.36431	-045.7	0
 41.23928	-008.36361	-042.2	0
 41.23928	-008.36291	 001.2	0
 41.23928	-008.36221	 003.9	0
 41.23928	-008.36152	 003.9	0
 41.23928	-008.36082	 002.3	0
 41.23928	-008.36012	 004.1	0
 41.23928	-008.35942	 004.1	0
 41.23929	-008.35872	 002.6	0
 41.23928	-008.35802	 004.3	0
 41.23929	-008.35732	 004.3	0
 41.23928	-008.35662	 003.5	0
 41.23929	-008.35593	 003.4	0
 41.23929	-008.35523	 004.5	0
 41.23929	-008.35453	 003.9	0
 41.23929	-008.35383	 005.4	0
 41.23928	-008.35313	 005.2	0
 41.23928	-008.35243	 004.7	0
 41.23928	-008.35173	-001.1	3
 41.23928	-008.35103	-051.4	0
 41.23928	-008.35033	-059.1	0
 41.23928	-008.34964	-051.7	0
 41.23928	-008.34894	-010.1	3
