Range	35.0dB	-95.0dBm
Mobile unit	1	Mobile Terminal	 00.00000	 000.00000	0.0
Fixed unit	2	Site A	 41.21384	-008.26576	380.1
Fixed unit	3	Site B	 41.18386	-008.28282	440.0
Fixed unit	4	Site C	 41.20689	-008.22537	488.0
Fixed unit	5	Site D	 41.19995	-008.39087	505.9
Fixed unit	6	Site E	 41.22908	-008.15687	266.0
Latitude	Longitude	Rx(dB)	Best unit
 41.23928	-008.39367	-056.3	5
 41.23928	-008.39297	-053.1	5
 41.23928	-008.39227	-045.0	5
 41.23928	-008.39157	-048.7	5
 41.23928	-008.39087	-051.3	5
 41.23929	-008.39017	-050.0	5
 41.23928	-008.38947	-053.8	5
 41.23929	-008.38877	-055.6	5
 41.23928	-008.38807	-055.8	5
 41.23928	-008.38738	-056.9	5
 41.23929	-008.38668	-058.4	0
 41.23928	-008.38598	-058.9	0
 41.23928	-008.38528	-058.8	0
 41.23928	-008.38458	-057.4	0
 41.23928	-008.38388	-056.6	5
 41.23928	-008.38318	-055.7	5
 41.23928	-008.38248	-052.6	5
 41.23929	-008.38178	-052.8	5
 41.23929	-008.38109	-053.2	5
 41.23928	-008.38039	-053.8	5
 41.23928	-008.37969	-050.8	5
 41.23929	-008.37899	-047.2	5
 41.23928	-008.37829	-060.0	0
 41.23928	-008.37759	-055.9	0
 41.23928	-008.37689	-052.1	0
 41.23929	-008.37619	-033.4	5
 41.23929	-008.37549	-034.6	5
 41.23928	-008.37480	-035.9	5
 41.23928	-008.37410	-031.8	5
 41.23928	-008.37340	-026.4	5
 41.23928	-008.37270	-013.3	5
 41.23928	-008.37200	-008.2	5
 41.23928	-008.37130	 006.7	5
 41.23928	-008.37060	 008.9	5
 41.23929	-008.36990	 008.1	5
 41.23929	-008.36920	 003.5	5
 41.23929	-008.36851	-034.7	5
 41.23928	-008.36781	-031.5	5
 41.23929	-008.36711	 007.0	5
 41.23929	-008.36641	 011.4	5
 41.23928	-008.36571	 012.3	5
 41.23928	-008.36501	 006.2	5
 41.23928	-008.36431	 013.1	5
 41.23928	-008.36361	 013.2	5
 41.23928	-008.36291	 013.1	5
 41.23928	-008.36221	 012.7	0
 41.23928	-008.36152	 010.2	0
 41.23928	-008.36082	 007.6	0
 41.23928	-008.36012	 012.6	0
 41.23928	-008.35942	 012.8	0
 41.23929	-008.35872	 012.1	0
 41.23928	-008.35802	 004.3	0
 41.23929	-008.35732	 004.3	0
 41.23928	-008.35662	 003.5	0
 41.23929	-008.35593	 003.4	0
 41.23929	-008.35523	 004.5	0
 41.23929	-008.35453	 003.9	0
 41.23929	-008.35383	 005.4	0
 41.23928	-008.35313	 005.2	0
 41.23928	-008.35243	 004.7	0
 41.23928	-008.35173	-001.1	3
 41.23928	-008.35103	-051.4	0
 41.23928	-008.35033	-057.9	0
 41.23928	-008.34964	-039.0	5
 41.23928	-008.34894	 002.8	5
 41.23929	-008.34824	 011.3	0
 41.23928	-008.34754	 002.6	0
 41.23928	-008.34684	 003.6	0
 41.23928	-008.34614	 008.5	0
 41.23928	-008.34544	 006.9	0
 41.23929	-008.34474	 007.2	0
 41.23929	-008.34404	 005.6	0
 41.23928	-008.34334	 006.6	0
 41.23928	-008.34265	 006.7	0
 41.23928	-008.34195	 005.3	0
 41.23928	-008.34125	 006.8	0
 41.23928	-008.34055	 004.9	0
 41.23928	-008.33985	 006.8	0
 41.23928	-008.33915	 009.4	0
 41.23928	-008.33845	 008.3	0
 41.23928	-008.33775	 010.0	0
 41.23928	-008.33705	 009.4	0
 41.23928	-008.33636	 005.8	0
 41.23929	-008.33566	 009.0	0
 41.23929	-008.33496	 010.7	0
 41.23928	-008.33426	 010.1	0
 41.23928	-008.33356	 010.6	5
 41.23928	-008.33286	 010.7	5
 41.23928	-008.33216	 009.2	5
 41.23928	-008.33146	 010.3	0
 41.23928	-008.33076	 010.6	0
 41.23928	-008.33006	 010.3	0
 41.23928	-008.32937	 009.8	0
 41.23928	-008.32867	 007.5	0
 41.23928	-008.32797	 007.5	0
 41.23928	-008.32727	 009.5	0
 41.23928	-008.32657	 006.3	0
 41.23928	-008.32587	-008.3	0
 41.23928	-008.32517	-006.2	0
 41.23928	-008.32447	-027.2	0
 41.23928	-008.32378	-001.8	0
 41.23928	-008.32308	-001.9	0
 41.23929	-008.32238	 007.5	4
 41.23929	-008.32168	 007.5	4
 41.23929	-008.32098	-004.5	4
 41.23928	-008.32028	-036.1	0
 41.23928	-008.31958	-044.6	0
 41.23928	-008.31888	-047.9	0
 41.23928	-008.31818	-046.3	0
 41.23928	-008.31748	-040.4	0
 41.23928	-008.31679	-024.3	4
 41.23928	-008.31609	 008.0	0
 41.23929	-008.31539	 012.8	0
 41.23929	-008.31469	 004.7	0
 41.23929	-008.31399	 013.1	0
 41.23928	-008.31329	 010.1	0
 41.23928	-008.31259	 008.0	0
 41.23928	-008.31189	 009.2	3
 41.23928	-008.31119	 013.3	2
 41.23928	-008.31050	 005.6	3
 41.23928	-008.30980	 002.4	3
 41.23928	-008.30910	 004.8	3
 41.23928	-008.30840	-043.8	0
 41.23928	-008.30770	-044.6	5
 41.23928	-008.30700	-029.1	5
 41.23928	-008.30630	-007.7	5
 41.23928	-008.30560	 008.6	5
 41.23928	-008.30490	 007.3	5
 41.23928	-008.30420	 010.3	0
 41.23928	-008.30351	 008.4	0
 41.23929	-008.30281	 006.8	0
 41.23928	-008.30211	 010.0	0
 41.23929	-008.30141	 011.5	0
 41.23929	-008.30071	 010.9	0
 41.23928	-008.30001	 007.4	0
 41.23928	-008.29931	 013.7	0
 41.23928	-008.29861	 014.6	0
 41.23928	-008.29791	 010.7	0
 41.23928	-008.29722	 015.0	0
 41.23928	-008.29652	 011.0	0
 41.23928	-008.29582	 010.9	0
 41.23928	-008.29512	 015.3	0
 41.23929	-008.29442	 009.6	3
 41.23929	-008.29372	 015.7	0
 41.23928	-008.29302	 015.8	2
 41.23928	-008.29232	 014.2	2
 41.23928	-008.29162	 015.3	2
 41.23928	-008.29093	 015.6	2
 41.23928	-008.29023	 016.1	2
 41.23928	-008.28953	 016.1	0
 41.23928	-008.28883	 016.3	0
 41.23928	-008.28813	 003.2	2
 41.23928	-008.28743	 010.4	2
 41.23928	-008.28673	 016.5	2
 41.23928	-008.28603	 010.0	2
 41.23928	-008.28533	 003.3	0
 41.23928	-008.28464	 016.1	0
 41.23928	-008.28394	 016.1	0
 41.23928	-008.28324	 012.1	0
 41.23928	-008.28254	 017.0	0
 41.23928	-008.28184	 011.9	0
 41.23928	-008.28114	 011.4	0
 41.23928	-008.28044	 012.0	0
 41.23928	-008.27974	 011.4	0
 41.23928	-008.27904	 012.5	0
 41.23928	-008.27835	 011.2	0
 41.23928	-008.27765	 015.6	0
 41.23928	-008.27695	 016.7	2
 41.23928	-008.27625	 016.7	2
 41.23928	-008.27555	 005.7	5
 41.23928	-008.27485	 004.4	5
 41.23928	-008.27415	 006.4	5
 41.23928	-008.27345	-013.3	5
 41.23928	-008.27275	 005.7	5
 41.23928	-008.27205	-006.8	5
 41.23928	-008.27136	 004.4	5
 41.23928	-008.27066	 005.9	5
 41.23928	-008.26996	 004.0	5
 41.23928	-008.26926	 001.3	5
 41.23928	-008.26856	 005.6	5
 41.23928	-008.26786	 006.1	5
 41.23928	-008.26716	 006.0	5
 41.23928	-008.26646	 005.3	5
 41.23928	-008.26576	-002.2	5
 41.23928	-008.26507	 002.1	5
 41.23928	-008.26437	-000.2	5
 41.23928	-008.26367	-000.3	5
 41.23928	-008.26297	 000.8	5
 41.23928	-008.26227	-045.0	0
 41.23928	-008.26157	-044.4	2
 41.23928	-008.26087	-004.1	5
 41.23928	-008.26017	-000.4	5
 41.23928	-008.25947	 000.2	5
 41.23928	-008.25878	-000.4	0
 41.23928	-008.25808	 009.1	0
 41.23928	-008.25738	 005.8	0
 41.23928	-008.25668	-000.7	5
 41.23928	-008.25598	 017.6	2
 41.23928	-008.25528	 012.1	2
 41.23928	-008.25458	 013.6	2
 41.23928	-008.25388	 017.4	2
 41.23928	-008.25318	 014.0	2
 41.23928	-008.25249	 016.3	2
 41.23928	-008.25179	-028.5	2
 41.23928	-008.25109	-049.4	2
 41.23928	-008.25039	-043.3	0
 41.23928	-008.24969	 000.1	5
 41.23928	-008.24899	-000.6	5
 41.23928	-008.24829	-001.2	5
 41.23929	-008.24759	-042.3	5
 41.23928	-008.24689	-063.6	0
 41.23928	-008.24620	-062.0	0
 41.23928	-008.24550	-055.5	0
 41.23928	-008.24480	-032.6	5
 41.23928	-008.24410	-001.6	5
 41.23928	-008.24340	-001.2	5
 41.23928	-008.24270	-002.4	5
 41.23928	-008.24200	-049.6	2
 41.23928	-008.24130	-059.1	0
 41.23928	-008.24060	-061.5	0
 41.23929	-008.23990	-061.0	0
 41.23928	-008.23921	-059.3	0
 41.23928	-008.23851	-049.5	0
 41.23928	-008.23781	-047.3	0
 41.23928	-008.23711	-058.4	0
 41.23928	-008.23641	-060.5	0
 41.23928	-008.23571	-057.1	0
 41.23928	-008.23501	-053.1	0
 41.23928	-008.23431	-048.7	0
 41.23928	-008.23361	-012.3	5
 41.23928	-008.23292	-000.5	5
 41.23928	-008.23222	 009.3	0
 41.23928	-008.23152	 007.2	4
 41.23928	-008.23082	 013.4	4
 41.23928	-008.23012	 012.7	4
 41.23928	-008.22942	 006.8	4
 41.23928	-008.22872	 014.4	4
 41.23928	-008.22802	-016.9	4
 41.23928	-008.22732	-018.0	4
 41.23928	-008.22663	 014.0	4
 41.23928	-008.22593	-010.9	4
 41.23928	-008.22523	-050.3	4
 41.23928	-008.22453	-057.6	4
 41.23928	-008.22383	-054.9	0
 41.23928	-008.22313	-051.8	0
 41.23928	-008.22243	-048.3	2
 41.23928	-008.22173	-059.7	0
 41.23928	-008.22103	-060.5	0
 41.23928	-008.22034	-058.4	0
 41.23928	-008.21964	-048.0	0
 41.23928	-008.21894	-036.4	2
 41.23929	-008.21824	-000.2	6
 41.23928	-008.21754	 007.4	6
 41.23928	-008.21684	 007.5	6
 41.23928	-008.21614	 007.0	6
 41.23928	-008.21544	 008.1	6
 41.23928	-008.21474	 008.5	6
 41.23929	-008.21404	 007.1	6
 41.23928	-008.21335	 007.2	6
 41.23928	-008.21265	 007.2	6
 41.23928	-008.21195	 009.0	6
 41.23928	-008.21125	 008.5	6
 41.23928	-008.21055	 009.1	6
 41.23928	-008.20985	 014.9	0
 41.23928	-008.20915	 014.9	4
 41.23928	-008.20845	 009.4	4
 41.23928	-008.20776	 007.3	4
 41.23928	-008.20706	 009.3	4
 41.23929	-008.20636	 013.1	4
 41.23929	-008.20566	 014.8	0
 41.23929	-008.20496	 010.7	0
 41.23928	-008.20426	 014.9	4
 41.23928	-008.20356	 009.1	0
 41.23928	-008.20286	 010.4	6
 41.23929	-008.20216	 009.3	6
 41.23928	-008.20146	 009.0	6
 41.23928	-008.20076	 008.6	6
 41.23928	-008.20007	 013.7	4
 41.23928	-008.19937	 009.3	4
 41.23928	-008.19867	 000.3	4
 41.23928	-008.19797	 007.8	4
 41.23928	-008.19727	 005.3	4
 41.23929	-008.19657	 003.2	4
 41.23929	-008.19587	 001.7	4
 41.23929	-008.19517	 006.1	4
 41.23928	-008.19448	 013.6	4
 41.23929	-008.19378	 013.8	4
 41.23929	-008.19308	 013.9	4
 41.23928	-008.19238	 010.6	4
 41.23928	-008.19168	 009.1	4
 41.23928	-008.19098	 012.7	0
 41.23928	-008.19028	 012.8	0
 41.23928	-008.18958	 013.0	6
 41.23928	-008.18888	 011.9	6
 41.23928	-008.18818	 011.7	6
 41.23928	-008.18749	 012.1	6
 41.23928	-008.18679	 012.7	6
 41.23928	-008.18609	 013.3	6
 41.23928	-008.18539	 014.0	6
 41.23928	-008.18469	 012.6	6
 41.23929	-008.18399	 013.4	6
 41.23929	-008.18329	 018.0	6
 41.23928	-008.18259	 002.7	6
 41.23929	-008.18189	 015.3	6
 41.23929	-008.18120	 018.8	6
 41.23929	-008.18050	 016.6	6
 41.23928	-008.17980	-002.9	6
 41.23928	-008.17910	 020.2	6
 41.23928	-008.17840	-010.2	6
 41.23928	-008.17770	 010.0	6
 41.23928	-008.17700	 017.8	6
 41.23928	-008.17630	-020.4	6
 41.23928	-008.17560	-034.2	6
 41.23928	-008.17491	-039.3	6
 41.23929	-008.17421	-034.2	0
 41.23928	-008.17351	 007.8	4
 41.23928	-008.17281	 011.5	4
