file,distance_m,run,flow_id,protocol,rx_kbit_s,tx_kbit_s,delay_ms,loss_pct
3rd_Study_UDP_DataRate=10Mbps_Duration=60s_Run=1.xml,,1,1,TCP,14044.48,14044.16,76.05,0.0
3rd_Study_UDP_DataRate=10Mbps_Duration=60s_Run=1.xml,,1,3,UDP,10201.01,10200.19,1.63,0.01
3rd_Study_UDP_DataRate=11Mbps_Duration=60s_Run=1.xml,,1,1,TCP,13326.51,13326.21,80.55,0.0
3rd_Study_UDP_DataRate=11Mbps_Duration=60s_Run=1.xml,,1,3,UDP,11220.89,11220.19,1.86,0.01
3rd_Study_UDP_DataRate=12Mbps_Duration=60s_Run=1.xml,,1,1,TCP,12588.21,12587.9,85.12,0.0
3rd_Study_UDP_DataRate=12Mbps_Duration=60s_Run=1.xml,,1,3,UDP,12240.84,12240.19,3.07,0.01
3rd_Study_UDP_DataRate=13Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11854.57,11854.28,90.28,0.0
3rd_Study_UDP_DataRate=13Mbps_Duration=60s_Run=1.xml,,1,3,UDP,13259.1,13260.21,6.08,0.01
3rd_Study_UDP_DataRate=14Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11158.5,11158.25,95.99,0.0
3rd_Study_UDP_DataRate=14Mbps_Duration=60s_Run=1.xml,,1,3,UDP,14274.37,14280.19,39.38,0.01
3rd_Study_UDP_DataRate=15Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11059.86,11059.58,97.56,0.0
3rd_Study_UDP_DataRate=15Mbps_Duration=60s_Run=1.xml,,1,3,UDP,14473.48,15300.17,406.82,5.0
3rd_Study_UDP_DataRate=16Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11059.86,11059.58,97.56,0.0
3rd_Study_UDP_DataRate=16Mbps_Duration=60s_Run=1.xml,,1,3,UDP,14470.43,16320.19,451.73,10.98
3rd_Study_UDP_DataRate=17Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11292.02,11291.75,95.29,0.0
3rd_Study_UDP_DataRate=17Mbps_Duration=60s_Run=1.xml,,1,3,UDP,14541.07,17340.18,547.63,17.04
3rd_Study_UDP_DataRate=18Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11076.65,11076.52,96.99,0.0
3rd_Study_UDP_DataRate=18Mbps_Duration=60s_Run=1.xml,,1,3,UDP,14488.3,18360.19,699.03,20.5
3rd_Study_UDP_DataRate=19Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11112.95,11112.7,96.54,0.0
3rd_Study_UDP_DataRate=19Mbps_Duration=60s_Run=1.xml,,1,3,UDP,14485.98,19380.19,958.86,24.84
3rd_Study_UDP_DataRate=1Mbps_Duration=60s_Run=1.xml,,1,1,TCP,20926.14,20925.62,51.71,0.0
3rd_Study_UDP_DataRate=1Mbps_Duration=60s_Run=1.xml,,1,3,UDP,1020.4,1020.19,0.83,0.0
3rd_Study_UDP_DataRate=20Mbps_Duration=60s_Run=1.xml,,1,1,TCP,11112.95,11112.7,96.54,0.0
3rd_Study_UDP_DataRate=20Mbps_Duration=60s_Run=1.xml,,1,3,UDP,14569.85,20400.21,1109.03,27.77
3rd_Study_UDP_DataRate=2Mbps_Duration=60s_Run=1.xml,,1,1,TCP,20183.11,20182.65,53.39,0.0
3rd_Study_UDP_DataRate=2Mbps_Duration=60s_Run=1.xml,,1,3,UDP,2040.6,2040.19,0.81,0.0
3rd_Study_UDP_DataRate=3Mbps_Duration=60s_Run=1.xml,,1,1,TCP,19455.36,19454.92,55.4,0.0
3rd_Study_UDP_DataRate=3Mbps_Duration=60s_Run=1.xml,,1,3,UDP,3060.81,3060.19,0.85,0.0
3rd_Study_UDP_DataRate=4Mbps_Duration=60s_Run=1.xml,,1,1,TCP,18629.92,18629.49,57.87,0.0
3rd_Study_UDP_DataRate=4Mbps_Duration=60s_Run=1.xml,,1,3,UDP,4080.87,4080.19,0.88,0.0
3rd_Study_UDP_DataRate=5Mbps_Duration=60s_Run=1.xml,,1,1,TCP,17818.49,17818.08,60.44,0.0
3rd_Study_UDP_DataRate=5Mbps_Duration=60s_Run=1.xml,,1,3,UDP,5100.7,5100.19,0.94,0.01
3rd_Study_UDP_DataRate=6Mbps_Duration=60s_Run=1.xml,,1,1,TCP,17132.13,17131.77,62.68,0.0
3rd_Study_UDP_DataRate=6Mbps_Duration=60s_Run=1.xml,,1,3,UDP,6120.76,6120.19,1.04,1.68
3rd_Study_UDP_DataRate=7Mbps_Duration=60s_Run=1.xml,,1,1,TCP,16259.86,16259.49,65.98,0.0
3rd_Study_UDP_DataRate=7Mbps_Duration=60s_Run=1.xml,,1,3,UDP,7140.95,7140.19,1.1,0.01
3rd_Study_UDP_DataRate=8Mbps_Duration=60s_Run=1.xml,,1,1,TCP,15529.17,15528.82,69.13,0.0
3rd_Study_UDP_DataRate=8Mbps_Duration=60s_Run=1.xml,,1,3,UDP,8160.89,8160.19,1.33,0.01
3rd_Study_UDP_DataRate=9Mbps_Duration=60s_Run=1.xml,,1,1,TCP,14764.48,14764.14,72.54,0.0
3rd_Study_UDP_DataRate=9Mbps_Duration=60s_Run=1.xml,,1,3,UDP,9180.84,9180.19,1.34,0.01
